name	price	bulk	hands	level	is_uncommon	comment
Adventurer’s pack	15 sp	1				
Alchemist’s lab	5 gp	6	2			
Expanded alchemist’s lab	55 gp	6	2	3		
Alchemist’s tools	3 gp	1	2			
Artisan’s tools	4 gp	2	2			
Sterling artisan's tools	50 gp	2	2	3		
Backpack	1 sp					
Basic crafter’s book	1 sp	L	2			
Bedroll	2 cp	L				
Caltrops	3 sp	L	1			
Candle	1 cp for 10 items		1			
Chain	4 gp for 10 feet	1	2			
Chalk	1 cp for 10 items		1			
Chest	6 sp	2	2			
Climbing kit	5 sp	1	2			
Extreme climbing kit	40 gp	1	2	3		
Ordinary Clothing	1 sp					
Explorer's Clothing	1 sp	L				
Fine Clothing	2 gp	L				
High-fashion fine Clothing	55 gp	L		3		
Winter Clothing	4 sp	L				
Compass	1 gp		1			
Lensatic compass	20 gp		1	3		
Cookware	1 gp	2	2			
Crowbar	5 sp	L	2			
Levered crowbar	20 gp	L	2	3		
Disguise kit	2 gp	L	2			
Replacement cosmetics	1 sp					
Elite disguise kit	40 gp	L	2	3		
Elite cosmetics	5 sp			3		
Fishing tackle	8 sp	1	2			
Professional fishing tackle	20 gp	1	2	3		
Flint and steel	5 cp		2			
Formula book blank	1 gp	L	1			
Grappling hook	1 sp	L	1			
Hammer	1 sp	L	1			
Healer’s tools	5 gp	1	2			
Expanded healer’s tools	50 gp	1	2	3		
Holly and mistletoe	0		1			
Hourglass	3gp	L	1			
Ladder	3 cp for 10-foot	3	2			
Bull’s-eye Lantern	1 gp	1	1			
Hooded Lantern	7 sp	L	1			
Poor lock	2 sp		2			
Simple lock	2 gp		2	1		
Average lock	15 gp		2	3		
Good lock	200 gp		2	9		
Superior lock	4,500 gp		2	17		
Magnifying glass	40 gp		1	3		
Poor manacles	3 sp		2			
Simple manacles	3gp		2	1		
Average manacles	20 gp		2	3		
Good manacles	250 gp		2	9		
Superior manacles	5,000 gp		2	17		
Material component pouch	5 sp	L	1			
Merchant’s scale	2 sp	L	2			
Mirror	1 gp		1			
Mug	1 cp		1			
Handheld Musical instrument	8 sp	1	2			
Virtuoso handheld Musical instrument	50 gp	1	2	3		
Heavy Musical instrument	2 gp	16	2			
Virtuoso heavy Musical instrument	100 gp	16	2	3		
Oil	1 cp for 1 pint		2			
Piton	1 cp		1			
Rations	4 sp for 1 week	L	1			
Wooden Religious symbol	1 sp	L	1			
Silver Religious symbol	2 gp	L	1			
Religious text	1 gp	L	1			
Repair kit	2 gp	1	2			
Superb repair kit	25 gp	1	2	3		
Rope	5 sp for 50 feet	L	2			
Sack	1 cp for 5 items	L	1			
Saddlebags	2 sp	L	2			
Signal whistle	8 cp		1			
Snare kit	5 gp	2	2			
