name	ancestry	class	level	prereq
Ancient-Blooded Dwarf	dwarf	Heritage	0	
Death Warden Dwarf	dwarf	Heritage	0	
Forge Dwarf	dwarf	Heritage	0	
Rock Dwarf	dwarf	Heritage	0	
Strong-Blooded Dwarf	dwarf	Heritage	0	
DWARVEN LORE	dwarf	Feat	1	
DWARVEN WEAPON FAMILIARITY	dwarf	Feat	1	
ROCK RUNNER	dwarf	Feat	1	
STONECUNNING	dwarf	Feat	1	
UNBURDENED IRON	dwarf	Feat	1	
VENGEFUL HATRED	dwarf	Feat	1	
BOULDER ROLL	dwarf	Feat	5	Rock Runner
DWARVEN WEAPON CUNNING	dwarf	Feat	5	Dwarven Weapon Familiarity
MOUNTAIN’S STOUTNESS	dwarf	Feat	9	
STONEWALKER	dwarf	Feat	9	
DWARVEN WEAPON EXPERTISE	dwarf	Feat	13	Dwarven Weapon Familiarity
Arctic Elf	elf	Heritage	0	
Cavern Elf	elf	Heritage	0	
Seer Elf	elf	Heritage	0	
Whisper Elf	elf	Heritage	0	
Woodland Elf	elf	Heritage	0	
ANCESTRAL LONGEVITY	elf	Feat	1	
ELVEN LORE	elf	Feat	1	
ELVEN WEAPON FAMILIARITY	elf	Feat	1	
FORLORN	elf	Feat	1	
NIMBLE ELF	elf	Feat	1	
OTHERWORLDLY MAGIC	elf	Feat	1	
UNWAVERING MIEN	elf	Feat	1	
AGELESS PATIENCE	elf	Feat	5	
ELVEN WEAPON ELEGANCE	elf	Feat	5	Elven Weapon Familiarity
ELF STEP	elf	Feat	9	
EXPERT LONGEVITY	elf	Feat	9	Ancestral Longevity
UNIVERSAL LONGEVITY	elf	Feat	13	Expert Longevity
ELVEN WEAPON EXPERTISE	elf	Feat	13	Elven Weapon Familiarity
Chameleon Gnome	gnome	Heritage	0	
Fey-touched Gnome	gnome	Heritage	0	
Sensate Gnome	gnome	Heritage	0	
Umbral Gnome	gnome	Heritage	0	
Wellspring Gnome	gnome	Heritage	0	
ANIMAL ACCOMPLICE	gnome	Feat	1	
BURROW ELOCUTIONIST	gnome	Feat	1	
FEY FELLOWSHIP	gnome	Feat	1	
FIRST WORLD MAGIC	gnome	Feat	1	
GNOME OBSESSION	gnome	Feat	1	
GNOME WEAPON FAMILIARITY	gnome	Feat	1	
ILLUSION SENSE	gnome	Feat	1	
ANIMAL ELOCUTIONIST	gnome	Feat	5	Burrow Elocutionist
ENERGIZED FONT	gnome	Feat	5	
GNOME WEAPON INNOVATOR	gnome	Feat	5	Gnome Weapon Familiarity
FIRST WORLD ADEPT	gnome	Feat	9	
VIVACIOUS CONDUIT	gnome	Feat	9	
GNOME WEAPON EXPERTISE	gnome	Feat	13	Gnome Weapon Familiarity
Charhide Goblin	goblin	Heritage	0	
Irongut Goblin	goblin	Heritage	0	
Razortooth Goblin	goblin	Heritage	0	
Snow Goblin	goblin	Heritage	0	
Unbreakable Goblin	goblin	Heritage	0	
BURN IT!	goblin	Feat	1	
CITY SCAVENGER	goblin	Feat	1	
GOBLIN LORE	goblin	Feat	1	
GOBLIN SCUTTLE	goblin	Feat	1	
GOBLIN SONG	goblin	Feat	1	
GOBLIN WEAPON FAMILIARITY	goblin	Feat	1	
JUNK TINKER	goblin	Feat	1	
ROUGH RIDER	goblin	Feat	1	
VERY SNEAKY	goblin	Feat	1	
GOBLIN WEAPON FRENZY	goblin	Feat	5	Goblin Weapon Familiarity
CAVE CLIMBER	goblin	Feat	9	
SKITTERING SCUTTLE	goblin	Feat	9	Goblin Scuttle
GOBLIN WEAPON EXPERTISE	goblin	Feat	13	Goblin Weapon Familiarity
VERY, VERY SNEAKY	goblin	Feat	13	Very Sneaky
Gutsy Halfling	halfling	Heritage	0	
Hillock Halfling	halfling	Heritage	0	
Nomadic Halfling	halfling	Heritage	0	
Twilight Halfling	halfling	Heritage	0	
Wildwood Halfling	halfling	Heritage	0	
DISTRACTING SHADOWS	halfling	Feat	1	
HALFLING LORE	halfling	Feat	1	
HALFLING LUCK	halfling	Feat	1	
HALFLING WEAPON FAMILIARITY	halfling	Feat	1	
SURE FEET	halfling	Feat	1	
TITAN SLINGER	halfling	Feat	1	
UNFETTERED HALFLING	halfling	Feat	1	
WATCHFUL HALFLING	halfling	Feat	1	
CULTURAL ADAPTABILITY	halfling	Feat	5	
HALFLING WEAPON TRICKSTER	halfling	Feat	5	Halfling Weapon Familiarity
GUIDING LUCK	halfling	Feat	9	Halfling Luck
IRREPRESSIBLE	halfling	Feat	9	
CEASELESS SHADOWS	halfling	Feat	13	Distracting Shadows
HALFLING WEAPON EXPERTISE	halfling	Feat	13	Halfling Weapon Familiarity
Half-Elf	human	Heritage	0	
Half-Orc	human	Heritage	0	
Skilled Heritage	human	Heritage	0	
Versatile Heritage	human	Heritage	0	
ADAPTED CANTRIP	human	Feat	1	
COOPERATIVE NATURE	human	Feat	1	
GENERAL TRAINING	human	Feat	1	
