name	feat	level	prereq
Alchemist	ALCHEMIST DEDICATION	2	
Alchemist	BASIC CONCOCTION	4	ALCHEMIST DEDICATION
Alchemist	QUICK ALCHEMY	4	ALCHEMIST DEDICATION
Alchemist	ADVANCED CONCOCTION	6	BASIC CONCOCTION
Alchemist	EXPERT ALCHEMY	6	ALCHEMIST DEDICATION
Alchemist	MASTER ALCHEMY	12	EXPERT ALCHEMY
Barbarian	BARBARIAN DEDICATION	2	
Barbarian	BARBARIAN RESILIENCY	4	BARBARIAN DEDICATION
Barbarian	BASIC FURY	4	BARBARIAN DEDICATION
Barbarian	ADVANCED FURY	6	BASIC FURY
Barbarian	INSTINCT ABILITY	6	BARBARIAN DEDICATION
Barbarian	JUGGERNAUT’S FORTITUDE	12	BARBARIAN DEDICATION
Bard	BARD DEDICATION	2	
Bard	BASIC BARD SPELLCASTING	4	BARD DEDICATION
Bard	BASIC MUSE’S WHISPERS	4	BARD DEDICATION
Bard	ADVANCED MUSE’S WHISPERS	6	BASIC MUSE’S WHISPERS
Bard	COUNTER PERFORM	6	BARD DEDICATION
Bard	INSPIRATIONAL PERFORMANCE	8	BARD DEDICATION
Bard	OCCULT BREADTH	8	BASIC BARD SPELLCASTING
Bard	EXPERT BARD SPELLCASTING	12	BASIC BARD SPELLCASTING
Bard	MASTER BARD SPELLCASTING	18	EXPERT BARD SPELLCASTING
Champion	CHAMPION DEDICATION	2	
Champion	BASIC DEVOTION	4	CHAMPION DEDICATION
Champion	CHAMPION RESILIENCY	4	CHAMPION DEDICATION
Champion	HEALING TOUCH	4	CHAMPION DEDICATION
Champion	ADVANCED DEVOTION	6	BASIC DEVOTION
Champion	CHAMPION’S REACTION archetype	6	CHAMPION DEDICATION
Champion	DIVINE ALLY archetype	6	CHAMPION DEDICATION
Champion	DIVERSE ARMOR EXPERT	14	CHAMPION DEDICATION
Cleric	CLERIC DEDICATION	2	
Cleric	BASIC CLERIC SPELLCASTING	4	CLERIC DEDICATION
Cleric	BASIC DOGMA	4	CLERIC DEDICATION
Cleric	ADVANCED DOGMA	6	BASIC DOGMA
Cleric	DIVINE BREADTH	8	BASIC CLERIC SPELLCASTING
Cleric	EXPERT CLERIC SPELLCASTING	12	BASIC CLERIC SPELLCASTING
Cleric	MASTER CLERIC SPELLCASTING	18	EXPERT CLERIC SPELLCASTING
Druid	DRUID DEDICATION	2	
Druid	BASIC DRUID SPELLCASTING	4	DRUID DEDICATION
Druid	BASIC WILDING	4	DRUID DEDICATION
Druid	ORDER SPELL	4	DRUID DEDICATION
Druid	ADVANCED WILDING	6	BASIC WILDING
Druid	PRIMAL BREADTH	8	BASIC DRUID SPELLCASTING
Druid	EXPERT DRUID SPELLCASTING	12	BASIC DRUID SPELLCASTING
Druid	MASTER DRUID SPELLCASTING	18	EXPERT DRUID SPELLCASTING
Fighter	FIGHTER DEDICATION	2	
Fighter	BASIC MANEUVER	4	FIGHTER DEDICATION
Fighter	FIGHTER RESILIENCY	4	FIGHTER DEDICATION
Fighter	OPPORTUNIST	4	FIGHTER DEDICATION
Fighter	ADVANCED MANEUVER	6	BASIC MANEUVER
Fighter	DIVERSE WEAPON EXPERT	12	FIGHTER DEDICATION
Monk	MONK DEDICATION	2	
Monk	BASIC KATA	4	MONK DEDICATION
Monk	MONK RESILIENCY	4	MONK DEDICATION
Monk	ADVANCED KATA	6	BASIC KATA
Monk	MONK MOVES	8	MONK DEDICATION
Monk	MONK'S FLURRY	10	MONK DEDICATION
Monk	PERFECTION'S PATH	12	MONK DEDICATION
Ranger	RANGER DEDICATION	2	
Ranger	BASIC HUNTER'S TRICK	4	RANGER DEDICATION
Ranger	RANGER RESILIENCY	4	RANGER DEDICATION
Ranger	ADVANCED HUNTER'S TRICK	6	BASIC HUNTER'S TRICK
Ranger	MASTER SPOTTER	12	RANGER DEDICATION
Rogue	ROGUE DEDICATION	2	
Rogue	BASIC TRICKERY	4	ROGUE DEDICATION
Rogue	SNEAK ATTACKER	4	ROGUE DEDICATION
Rogue	ADVANCED TRICKERY	6	BASIC TRICKERY
Rogue	SKILL MASTERY	8	ROGUE DEDICATION
Rogue	UNCANNY DODGE	10	ROGUE DEDICATION
Rogue	EVASIVENESS	12	ROGUE DEDICATION
Sorcerer	SORCERER DEDICATION	2	
Sorcerer	BASIC SORCERER SPELLCASTING	4	SORCERER DEDICATION
Sorcerer	BASIC BLOOD POTENCY	4	SORCERER DEDICATION
Sorcerer	BASIC BLOODLINE SPELL	4	SORCERER DEDICATION
Sorcerer	ADVANCED BLOOD POTENCY	6	BASIC BLOOD POTENCY
Sorcerer	BLOODLINE BREADTH	8	BASIC SORCERER SPELLCASTING
Sorcerer	EXPERT SORCERER SPELLCASTING	12	BASIC SORCERER SPELLCASTING
Sorcerer	MASTER SORCERER SPELLCASTING	18	EXPERT SORCERER SPELLCASTING
Wizard	WIZARD DEDICATION	2	
Wizard	ARCANE SCHOOL SPELL	4	WIZARD DEDICATION
Wizard	BASIC ARCANA	4	WIZARD DEDICATION
Wizard	BASIC WIZARD SPELLCASTING	4	WIZARD DEDICATION
Wizard	ADVANCED ARCANA	6	BASIC ARCANA
Wizard	ARCANE BREADTH	8	BASIC WIZARD SPELLCASTING
Wizard	EXPERT WIZARD SPELLCASTING	12	BASIC WIZARD SPELLCASTING
Wizard	MASTER WIZARD SPELLCASTING	18	EXPERT WIZARD SPELLCASTING
