name	level	gameclass	property
Alchemy	1	alchemist	feat_of
Formula Book	1	alchemist	feat_of
Research Field	1	alchemist	feat_of
Field Discovery	5	alchemist	feat_of
Powerful Alchemy	5	alchemist	feat_of
Alchemical Weapon Expertise	7	alchemist	feat_of
Iron Will alchemist	7	alchemist	feat_of
Perpetual Infusions	7	alchemist	feat_of
Alchemical Expertise	9	alchemist	feat_of
Alertness alchemist	9	alchemist	feat_of
Double Brew	9	alchemist	feat_of
Juggernaut alchemist	11	alchemist	feat_of
Perpetual Potency	11	alchemist	feat_of
Greater Field Discovery	13	alchemist	feat_of
Medium Armor Expertise alchemist	13	alchemist	feat_of
Weapon Specialization alchemist	13	alchemist	feat_of
Alchemical Alacrity	15	alchemist	feat_of
Evasion alchemist	15	alchemist	feat_of
Alchemical Mastery	17	alchemist	feat_of
Perpetual Perfection	17	alchemist	feat_of
Medium Armor Mastery	19	alchemist	feat_of
ALCHEMICAL FAMILIAR	1	alchemist	selectable_feat_of
ALCHEMICAL SAVANT	1	alchemist	selectable_feat_of
FAR LOBBER	1	alchemist	selectable_feat_of
QUICK BOMBER	1	alchemist	selectable_feat_of
POISON RESISTANCE	2	alchemist	selectable_feat_of
REVIVIFYING MUTAGEN	2	alchemist	selectable_feat_of
SMOKE BOMB	2	alchemist	selectable_feat_of
CALCULATED SPLASH	4	alchemist	selectable_feat_of
EFFICIENT ALCHEMY	4	alchemist	selectable_feat_of
ENDURING ALCHEMY	4	alchemist	selectable_feat_of
COMBINE ELIXIRS	6	alchemist	selectable_feat_of
DEBILITATING BOMB	6	alchemist	selectable_feat_of
DIRECTIONAL BOMBS	6	alchemist	selectable_feat_of
FERAL MUTAGEN	8	alchemist	selectable_feat_of
STICKY BOMB	8	alchemist	selectable_feat_of
ELASTIC MUTAGEN	10	alchemist	selectable_feat_of
EXPANDED SPLASH	10	alchemist	selectable_feat_of
GREATER DEBILITATING BOMB	10	alchemist	selectable_feat_of
MERCIFUL ELIXIR	10	alchemist	selectable_feat_of
POTENT POISONER	10	alchemist	selectable_feat_of
EXTEND ELIXIR	12	alchemist	selectable_feat_of
INVINCIBLE MUTAGEN	12	alchemist	selectable_feat_of
UNCANNY BOMBS	12	alchemist	selectable_feat_of
GLIB MUTAGEN	14	alchemist	selectable_feat_of
GREATER MERCIFUL ELIXIR	14	alchemist	selectable_feat_of
TRUE DEBILITATING BOMB	14	alchemist	selectable_feat_of
ETERNAL ELIXIR	16	alchemist	selectable_feat_of
EXPLOITIVE BOMB	16	alchemist	selectable_feat_of
GENIUS MUTAGEN	16	alchemist	selectable_feat_of
PERSISTENT MUTAGEN	16	alchemist	selectable_feat_of
IMPROBABLE ELIXIRS	18	alchemist	selectable_feat_of
MINDBLANK MUTAGEN	18	alchemist	selectable_feat_of
MIRACLE WORKER	18	alchemist	selectable_feat_of
PERFECT DEBILITATION	18	alchemist	selectable_feat_of
CRAFT PHILOSOPHERвЂ™S STONE	20	alchemist	selectable_feat_of
MEGA BOMB	20	alchemist	selectable_feat_of
PERFECT MUTAGEN	20	alchemist	selectable_feat_of
Rage	1	barbarian	feat_of
Instinct	1	barbarian	feat_of
Deny Advantage	3	barbarian	feat_of
Brutality	5	barbarian	feat_of
Juggernaut barbarian	7	barbarian	feat_of
Weapon Specialization barbarian	7	barbarian	feat_of
Lightning Reflexes barbarian	9	barbarian	feat_of
Raging Resistance	9	barbarian	feat_of
Mighty Rage	11	barbarian	feat_of
Greater Juggernaut	13	barbarian	feat_of
Medium Armor Expertise barbarian	13	barbarian	feat_of
Weapon Fury	13	barbarian	feat_of
Greater Weapon Specialization	15	barbarian	feat_of
Indomitable Will	15	barbarian	feat_of
Heightened Senses	17	barbarian	feat_of
Quick Rage	17	barbarian	feat_of
Armor of Fury	19	barbarian	feat_of
Devastator	19	barbarian	feat_of
Acute Scent	2	barbarian	selectable_feat_of
Acute Vision	1	barbarian	selectable_feat_of
Animal Rage	8	barbarian	selectable_feat_of
Animal Skin	6	barbarian	selectable_feat_of
Attack of Opportunity barbarian	6	barbarian	selectable_feat_of
Awesome Blow	14	barbarian	selectable_feat_of
Brutal Bully	6	barbarian	selectable_feat_of
Brutal Critical	18	barbarian	selectable_feat_of
Cleave	6	barbarian	selectable_feat_of
Collateral Thrash	16	barbarian	selectable_feat_of
Come and Get Me	10	barbarian	selectable_feat_of
Contagious Rage	20	barbarian	selectable_feat_of
Dragon's Rage Breath	6	barbarian	selectable_feat_of
Dragon's Rage Wings	12	barbarian	selectable_feat_of
Dragon Transformation	16	barbarian	selectable_feat_of
Fast Movement	4	barbarian	selectable_feat_of
Furious Bully	8	barbarian	selectable_feat_of
Furious Finish	2	barbarian	selectable_feat_of
Furious Grab	12	barbarian	selectable_feat_of
Furious Sprint	10	barbarian	selectable_feat_of
Giant’s Lunge	14	barbarian	selectable_feat_of
Giant’s Stature	6	barbarian	selectable_feat_of
Great Cleave	10	barbarian	selectable_feat_of
Knockback	10	barbarian	selectable_feat_of
Moment of Clarity	1	barbarian	selectable_feat_of
No Escape	2	barbarian	selectable_feat_of
Perfect Clarity	18	barbarian	selectable_feat_of
Predator’s Pounce	12	barbarian	selectable_feat_of
Quaking Stomp	20	barbarian	selectable_feat_of
Raging Athlete	4	barbarian	selectable_feat_of
Raging Intimidation	1	barbarian	selectable_feat_of
Raging Thrower	1	barbarian	selectable_feat_of
Reckless Abandon	16	barbarian	selectable_feat_of
Renewed Vigor	8	barbarian	selectable_feat_of
Second Wind	2	barbarian	selectable_feat_of
Shake It Off	2	barbarian	selectable_feat_of
Share Rage	8	barbarian	selectable_feat_of
Spirits’ Interference	6	barbarian	selectable_feat_of
Spirit’s Wrath	12	barbarian	selectable_feat_of
Sudden Charge	1	barbarian	selectable_feat_of
Sudden Leap	8	barbarian	selectable_feat_of
Swipe	4	barbarian	selectable_feat_of
Terrifying Howl	10	barbarian	selectable_feat_of
Thrash	8	barbarian	selectable_feat_of
Titan’s Stature	12	barbarian	selectable_feat_of
Vengeful Strike	14	barbarian	selectable_feat_of
Vicious Evisceration	18	barbarian	selectable_feat_of
Whirlwind Strike	14	barbarian	selectable_feat_of
Wounded Rage	4	barbarian	selectable_feat_of
Occult Spellcasting	1	bard	feat_of
Spell Repertoire	1	bard	feat_of
Composition Spells	1	bard	feat_of
Muses	1	bard	feat_of
Lightning Reflexes bard	3	bard	feat_of
Signature Spells	3	bard	feat_of
Expert Spellcaster	7	bard	feat_of
Great Fortitude bard	9	bard	feat_of
Resolve bard	9	bard	feat_of
Bard Weapon Expertise	11	bard	feat_of
Vigilant Senses bard	11	bard	feat_of
Light Armor Expertise	13	bard	feat_of
Weapon Specialization bard	13	bard	feat_of
Master Spellcaster	15	bard	feat_of
Greater Resolve	17	bard	feat_of
Magnum Opus	19	bard	feat_of
Legendary Spellcaster	19	bard	feat_of
Allegro	14	bard	selectable_feat_of
Bardic Lore	1	bard	selectable_feat_of
Cantrip Expansion	2	bard	selectable_feat_of
Deep Lore	18	bard	selectable_feat_of
Dirge of Doom	6	bard	selectable_feat_of
Eclectic Polymath	12	bard	selectable_feat_of
Eclectic Skill	8	bard	selectable_feat_of
Effortless Concentration	16	bard	selectable_feat_of
Esoteric Polymath	2	bard	selectable_feat_of
Eternal Composition	18	bard	selectable_feat_of
Fatal Aria	20	bard	selectable_feat_of
Harmonize	6	bard	selectable_feat_of
House of Imaginary Walls	10	bard	selectable_feat_of
Impossible Polymath	18	bard	selectable_feat_of
Inspire Competence	2	bard	selectable_feat_of
Inspire Defense	4	bard	selectable_feat_of
Inspire Heroics	8	bard	selectable_feat_of
Inspirational Focus	12	bard	selectable_feat_of
Know-It-All	8	bard	selectable_feat_of
Lingering Composition	1	bard	selectable_feat_of
Loremaster’s Etude	2	bard	selectable_feat_of
Melodious Spell	4	bard	selectable_feat_of
Multifarious Muse	2	bard	selectable_feat_of
Perfect Encore	20	bard	selectable_feat_of
Quickened Casting	10	bard	selectable_feat_of
Reach Spell	1	bard	selectable_feat_of
Soothing Ballad	14	bard	selectable_feat_of
Steady Spellcasting	6	bard	selectable_feat_of
Studious Capacity	16	bard	selectable_feat_of
Symphony of the Muse	20	bard	selectable_feat_of
Triple Time	4	bard	selectable_feat_of
True Hypercognition	14	bard	selectable_feat_of
Unusual Composition	10	bard	selectable_feat_of
Versatile Performance	1	bard	selectable_feat_of
Versatile Signature	4	bard	selectable_feat_of
Champion’s Code	1	champion	feat_of
Deity and Cause	1	champion	feat_of
Deific Weapon	1	champion	feat_of
Champion’s Reaction	1	champion	feat_of
Devotion Spells	1	champion	feat_of
Shield Block	1	champion	feat_of
Divine Ally	3	champion	feat_of
Weapon Expertise	5	champion	feat_of
Armor Expertise champion	7	champion	feat_of
Weapon Specialization champion	7	champion	feat_of
Champion Expertise	9	champion	feat_of
Divine Smite	9	champion	feat_of
Juggernaut champion	9	champion	feat_of
Lightning Reflexes champion	9	champion	feat_of
Alertness champion	11	champion	feat_of
Divine Will	11	champion	feat_of
Exalt	11	champion	feat_of
Armor Mastery champion	13	champion	feat_of
Weapon Mastery	13	champion	feat_of
Greater Weapon Specialization	15	champion	feat_of
Champion Mastery	17	champion	feat_of
Legendary Armor	17	champion	feat_of
Hero’s Defiance	19	champion	feat_of
Advanced Deity’s Domain	8	champion	selectable_feat_of
Affliction Mercy	12	champion	selectable_feat_of
Anchoring Aura	14	champion	selectable_feat_of
Attack of Opportunity champion	6	champion	selectable_feat_of
Aura of Courage	4	champion	selectable_feat_of
Aura of Faith	12	champion	selectable_feat_of
Aura of Life	14	champion	selectable_feat_of
Aura of Righteousness	14	champion	selectable_feat_of
Aura of Vengeance	14	champion	selectable_feat_of
Auspicious Mount	16	champion	selectable_feat_of
Blade of Justice	12	champion	selectable_feat_of
Celestial Form	18	champion	selectable_feat_of
Celestial Mount	20	champion	selectable_feat_of
Champion’s Sacrifice	12	champion	selectable_feat_of
Deity’s Domain	1	champion	selectable_feat_of
Devoted Focus	10	champion	selectable_feat_of
Divine Grace	2	champion	selectable_feat_of
