name	parent
Bomber	Research Field
Chirurgeon	Research Field
Mutagenist	Research Field
Animal Instinct	Instinct
Dragon Instinct	Instinct
Fury Instinct	Instinct
Giant Instinct	Instinct
Spirit Instinct	Instinct
Enigma	Muses
Maestro	Muses
Polymath	Muses
Paladin	Deity and Cause
Redeemer	Deity and Cause
Liberator	Deity and Cause
Healing Font	Divine Font
Harmful Font	Divine Font
Cloistered Cleric	Doctrine
Warpriest	Doctrine
Animal order	Druidic Order
Leaf order	Druidic Order
Storm order	Druidic Order
Wild order	Druidic Order
Flurry edge	Hunter’s Edge
Precision edge	Hunter’s Edge
Outwit edge	Hunter’s Edge
Ruffian	Rogue’s Racket
Scoundrel	Rogue’s Racket
Thief	Rogue’s Racket
Aberrant bloodline	Bloodline
Angelic bloodline	Bloodline
Demonic bloodline	Bloodline
Diabolic bloodline	Bloodline
Draconic bloodline	Bloodline
Elemental bloodline	Bloodline
Fey bloodline	Bloodline
Hag bloodline	Bloodline
Imperial bloodline	Bloodline
Undead bloodline	Bloodline
Abjuration arcane school	Arcane School
Conjuration arcane school	Arcane School
Divination arcane school	Arcane School
Enchantment arcane school	Arcane School
Evocation arcane school	Arcane School
Illusion arcane school	Arcane School
Necromancy arcane school	Arcane School
Transmutation arcane school	Arcane School
universalist wizard	Arcane School
