tradition	level	corpus
arcane	0	Acid Splash H (evo): Damage creatures with acid. Chill Touch H (nec): Your touch hurts the living or disorients undead. Dancing Lights (evo): Create four floating lights you can move. Daze H (enc): Damage a creature’s mind and possibly stun it. Detect Magic H (div): Sense whether magic is nearby. Electric Arc H (evo): Zap one or two creatures with lightning. Ghost Sound H (ill): Make false sounds. Light H (evo): Make an object glow. Mage Hand H (evo): Command a floating hand to move an object. Message H (ill): Speak a message to a distant creature, who can reply. Prestidigitation (evo): Perform a minor magical trick. Produce Flame H (evo): Kindle small flames to attack close or at range. Ray of Frost H (evo): Damage a creature with cold. Read Aura H (div): Detect if an object is magical, and determine the school of its magic. Shield H (abj): A shield of magical force blocks attacks and magic missiles. Sigil H (tra): Leave a magical mark. Tanglefoot H (con): Conjure a vine to entangle a creature. Telekinetic Projectile H (evo): Fling an object at a creature.
arcane	1	Air Bubble (con): React to create air for a creature to breathe. Alarm H (abj): Be alerted if a creature enters a warded area. Ant Haul (tra): Target can carry more. Burning Hands H (evo): A small cone of flame rushes from your hands. Charm H (enc): A creature becomes more friendly to you. Color Spray (ill): Swirling colors dazzle or stun creatures. Command H (enc): Bid a creature to approach, run, release something, lie prone, or stand up. Create Water (con): Conjure 2 gallons of water. Fear H (enc): Frighten a creature, possibly making it flee. Feather Fall (abj): React to slow a creature’s fall. Fleet Step (tra): Make your Speed much faster. Floating Disk (con): A disk of energy follows you, carrying objects. Goblin Pox (nec): Infect a creature with goblin pox. Grease (con): Coat a surface or object in slippery grease. Grim Tendrils H (nec): Creatures in a line take negative damage and bleed. Gust of Wind (evo): Wind blows out fires and knocks back objects and creatures. Hydraulic Push H (evo): Damage and push a creature with a blast of water. Illusory Disguise H (ill): Make yourself look like a different creature. Illusory Object H (ill): Form a convincing illusion of an object. Item Facade H (ill): Disguise an item to look perfect or shoddy. Jump H (tra): Make an impressive leap. Lock H (abj): Make a lock hard to open. Longstrider H (tra): Increase your Speed for an hour. Mage Armor H (abj): Ward yourself with magical armor. Magic Aura U, H (ill): Change how an item’s magic appears to detecting spells. Magic Missile H (evo): Pelt creatures with unerring bolts of magical force. Magic Weapon (tra): Make a weapon temporarily magical. Mending H (tra): Repair one non-magical item. Negate Aroma H (abj): Suppress a creature’s scent. Pest Form H (tra): Turn into a nonthreatening animal. Ray of Enfeeblement (nec): Sap a creature’s strength. Shocking Grasp H (evo): Zap a creature with electricity. Sleep H (enc): Cause creatures in a small area to fall asleep. Spider Sting (nec): Damage a creature and afflict it with spider venom. Summon Animal H (con): Conjure an animal to fight on your behalf. Summon Construct H (con): Conjure a construct to fight on your behalf. True Strike (div): Make your next attack especially accurate. Unseen Servant (con): Create an invisible creature to help you. Ventriloquism H (ill): Throw your voice.
arcane	2	Acid Arrow H (evo): Magical arrow deals acid damage persistently.Blur (ill): Cause a target’s form to become blurry and hard to hit. Comprehend Language H (div): A creature understands one language. Continual Flame H (evo): A magical flame burns indefinitely. Create Food H (con): Conjure food that can feed multiple creatures. Darkness H (evo): Suppress all light in an area. Darkvision H (div): See in the dark. Deafness (nec): Make a creature deaf. Dispel Magic (abj): End a spell or suppress an item’s magic. Endure Elements H (abj): Protect a creature from severe cold or heat. Enlarge H (tra): A creature grows in size. False Life H (nec): Gain temporary HP. Flaming Sphere H (evo): A ball of fire rolls about at your command. Gentle Repose H (nec): A corpse doesn’t decay and can’t become undead. Glitterdust (evo): Sparkling dust breaks invisibility and impedes vision. Hideous Laughter (enc): Fits of laughter make a creature unable to take all its actions. Humanoid Form H (tra): Take the shape of a humanoid. Illusory Creature H (ill): Form a convincing illusion of a creature. Invisibility H (ill): A creature can’t be seen until it attacks. Knock (tra): Make a door, lock, or container easier to open, and possibly open it immediately. Magic Mouth (ill): Make an illusory mouth appear to speak a message. Mirror Image (ill): Illusory duplicates of you cause attacks to miss. Misdirection (ill): Cause one creature’s auras to appear to be another’s. Obscuring Mist (con): Conceal creatures in a cloud of mist. Phantom Steed H (con): Conjure a magical horse. Resist Energy H (abj): Protect a creature from one type of energy damage. See Invisibility H (div): See invisible creatures and objects. Shrink H (tra): Reduce a willing creature to Tiny size. Spectral Hand (nec): Semicorporeal hand touches creatures to target them with your spells. Spider Climb H (tra): Give a creature a climb Speed. Summon Elemental H (con): Conjure an elemental to fight on your behalf. Telekinetic Maneuver (evo): Disarm, Shove, or Trip a creature telekinetically. Touch of Idiocy (enc): Dull a target’s mind with a touch. Water Breathing H (tra): Allow creatures to breathe underwater.Water Walk H (tra): Buoy a creature so it can walk on water. Web H (con): Form a web that keeps creatures from moving.
arcane	3	Bind Undead (nec): Take control of a mindless undead. Blindness (nec): Strike a target blind. Clairaudience (div): Hear through an invisible magical sensor. Dream Message H (enc): Send a message that arrives in a dream. Earthbind (tra): Bring a flying creature to the ground. Enthrall (enc): Your speech makes creatures fascinated with you. Feet to Fins H (tra): Turn a creature’s feet into fins, enabling it swim but slowing it on land. Fireball H (evo): An explosion of fire in an area burns creatures. Ghostly Weapon (tra): Make a weapon affect incorporeal creatures. Glyph of Warding (abj): Store a spell in a symbol to make a trap. Haste H (tra): Speed up a creature so it can attack or move more often. Hypnotic Pattern (ill): Shifting colors dazzle and fascinate creatures. Invisibility Sphere H (ill): You and creatures near you become invisible as you explore. Levitate (evo): Float an object or creature a few feet off the ground. Lightning Bolt H (evo): Lightning strikes all creatures in a line. Locate U, H (div): Learn the direction to an object. Meld into Stone (tra): Meld into a block of stone. Mind Reading U (div): Read a creature’s surface thoughts. Nondetection U (abj): Protect a creature or object from detection. Paralyze H (enc): Freeze a creature in place. Secret Page (ill): Alter the appearance of a page. Shrink Item (tra): Reduce an object to the size of a coin. Slow H (tra): Make a creature slower, reducing its actions. Stinking Cloud (con): Form a cloud that sickens creatures. Vampiric Touch H (nec): Deal negative damage and gain temporary HP with a touch. Wall of Wind (evo): Create a wall of gusting winds that hinders movement and ranged attacks.
arcane	4	Aerial Form H (tra): Turn into a flying combatant. Blink H (con): Flit between the planes, vanishing and reappearing.Clairvoyance (div): See through an invisible magical sensor. Confusion H (enc): Befuddle a creature, making it act randomly. Creation H (con): Make a temporary object. Detect Scrying U, H (div): Find out if scrying effects are in the area. Dimension Door H (con): Teleport yourself up to 120 feet. Dimensional Anchor (abj): Keep a creature from teleporting or traveling to other planes. Discern Lies U (div): Expertly detect lies and falsehoods. Fire Shield H (evo): Flames protect you from cold and harm those that touch you. Fly H (tra): Cause the target creature to gain a fly Speed. Freedom of Movement (abj): A creature overcomes hindrances to its movement. Gaseous Form (tra): Turn a willing creature into a flying cloud. Globe of Invulnerability U (abj): Magical sphere counteracts spells that would enter it. Hallucinatory Terrain U, H (ill): A natural environment appears to be another kind of terrain. Nightmare (ill): Plague a creature’s dreams with disturbing nightmares. Outcast’s Curse (enc): Curse a creature to be off-putting and grating. Phantasmal Killer H (ill): Place a fearsome image in a creature’s mind to scare and possibly kill it. Private Sanctum U (abj): Black fog prevents sensing, scrying, and mind‑reading on anyone within. Resilient Sphere (abj): Create a sphere of force that blocks anything that would come through. Rope Trick U (con): Animate a rope that rises to an extradimensional hiding place. Shape Stone (tra): Reshape a cube of stone. Solid Fog (con): Conjure heavy fog that obscures sight and is hard to move through. Spell Immunity (abj): Name a spell to negate its effects on you. Stoneskin H (abj): Harden a creature’s skin into durable stone. Suggestion H (enc): Suggest a course of action a creature must follow. Telepathy H (div): Communicate telepathically with any creatures near you. Veil H (ill): Disguise many creatures as other creatures. Wall of Fire H (evo): Create a blazing wall that burns creatures that pass through.Weapon Storm H (evo): Multiply a weapon you hold and attack many creatures with it.
arcane	5	Banishment H (abj): Send a creature back to its home plane. Black Tentacles (con): Tentacles in an area grab creatures. Chromatic Wall H (abj): A wall of light offers a unique protection based on its color. Cloak of Colors (ill): Bright colors dazzle creatures near the target, and attacks cause blinding flashes of light. Cloudkill H (nec): Poison creatures in a cloud that moves away from you. Cone of Cold H (evo): Bitter cold damages creatures in a cone. Control Water (evo): Raise or lower water in a large area. Crushing Despair H (enc): Make a creature sob uncontrollably. Drop Dead U, H (ill): The target appears to die but actually turns invisible. Elemental Form H (tra): Turn into an elemental. False Vision U (ill): Trick a scrying spell. Hallucination H (ill): A creature believes one thing is another, can’t detect something, or sees something that’s not really there. Illusory Scene H (ill): Create an imaginary scene containing multiple creatures and objects. Mariner’s Curse (nec): Infect a creature with the curse of the rolling sea. Mind Probe U (div): Uncover knowledge and memories in a creature’s mind. Passwall U, H (con): Form an earthen tunnel through a wall. Prying Eye (div): An invisible eye transmits what it sees to you. Sending (div): Send a mental message to a creature anywhere on the planet and get a reply. Shadow Siphon (ill): React to lessen the damage from an enemy’s spell by making it partially illusion. Shadow Walk U (con): Travel rapidly via the Shadow Plane. Subconscious Suggestion H (enc): Plant a mental suggestion that must be followed when a trigger occurs. Summon Dragon H (con): Conjure a dragon to fight on your behalf. Telekinetic Haul (evo): Move a large object. Telepathic Bond U (div): Link minds with willing creatures to communicate telepathically at great distances. Tongues U, H (div): Let a creature understand and speak all languages. Wall of Ice H (evo): Sculpt a foot-thick wall of ice that blocks sight and can chill creatures. Wall of Stone H (con): Shape a wall of stone.
arcane	6	Baleful Polymorph (tra): Transform a creature into a harmless animal. Chain Lightning H (evo): Lightning jumps from creature to creature. Collective Transposition H (con): Teleport up to two creatures to new positions near you. Disintegrate H (evo): Reduce a creature or object to dust. Dominate U, H (enc): A creature must obey your orders. Dragon Form H (tra): Turn into a dragon. Feeblemind (enc): Stupefy a creature permanently. Flesh To Stone (tra): Turn a living creature to a stone statue. Mislead (ill): Turn invisible and create a duplicate of yourself who acts like you. Phantasmal Calamity H (ill): Damage a creature mentally with visions of an apocalypse. Purple Worm Sting (nec): Damage a creature and infect it with purple worm venom. Repulsion (abj): Prevent creatures from approaching you. Scrying U (div): Spy on a creature. Spellwrack (abj): Curse a creature to be harmed when a spell is cast on it and lower the duration of its spells. Teleport U, H (con): Transport you and willing creatures a great distance. True Seeing (div): See through illusions and transmutations. Vampiric Exsanguination H (nec): Draw blood and life force from creatures in a cone. Vibrant Pattern (ill): Make a pattern of lights that dazzles and blinds. Wall of Force H (evo): Create an invisible and durable wall of magical force.
arcane	7	Contingency H (abj): Set up a spell to trigger later under your choice of circumstances. Dimensional Lock U (abj): Prevent teleportation and planar travel. Duplicate Foe H (con): Create a temporary duplicate of an enemy that fights for you. Eclipse Burst H (nec): A globe of darkness deals cold damage, hurts the living, and overcomes light. Energy Aegis H (abj): A creature gains resistance to acid, cold, electricity, fire, force, and sonic. Fiery Body H (tra): Turn your body into living flame. Magnificent Mansion U (con): Conjure a secure dwelling in a demiplane. Mask of Terror H (ill): A creature’s fearsome illusory appearance frightens observers.Plane Shift U (con): Transport creatures to another plane of existence. Power Word Blind U, H (enc): Utter a word that blinds a creature. Prismatic Spray (evo): Shoot rainbow beams that have various effects on creatures in a cone. Project Image H (ill): Make an illusion of yourself you can cast spells through. Reverse Gravity U (evo): Flip the gravitational pull in an area. Spell Turning U (abj): Reflect spells back at their caster. True Target (div): Make multiple attacks against a creature especially accurate. Warp Mind (enc): Confuse a creature, possibly permanently.
arcane	8	Antimagic Field R (abj): Magic doesn’t function in an area around you. Disappearance (ill): Make a creature invisible, silent, and undetectable by any and all senses. Discern Location U (div): Discover a target’s exact location within unlimited range. Dream Council (ill): Communicate through a shared dream. Earthquake H (evo): Shake the ground with a devastating earthquake. Horrid Wilting H (nec): Pull moisture from creatures, damaging them. Maze (con): Trap a creature in an extradimensional maze. Mind Blank U (abj): Protect a creature from mental magic and some divinations. Monstrosity Form H (tra): Turn into a powerful monster. Polar Ray H (evo): Bitter cold damages and drains a creature. Power Word Stun U, H (enc): Utter a word that stuns a creature. Prismatic Wall (abj): Form a protective wall with seven chromatic layers. Scintillating Pattern (ill): Cause an array of color that dazzles, confuses, and stuns. Uncontrollable Dance (enc): Overcome a target with an all-consuming urge to dance. Unrelenting Observation (div): You and other creatures use scrying to track a subject exactly.
arcane	9	Disjunction U (abj): Deactivate or destroy a magic item. Foresight (div): Sense when a creature is in danger and react to protect it with good fortune. Implosion H (evo): Make a creature collapse in on itself. Massacre H (nec): Instantly kill multiple creatures.Meteor Swarm H (evo): Call down four blazing meteors that explode. Power Word Kill U, H (enc): Utter a word that slays a creature. Prismatic Sphere (abj): Form a protective sphere composed of seven chromatic layers. Resplendent Mansion (con): Conjure a mansion that lasts for a day. Shapechange (tra): Transform into a form of your choice repeatedly. Telepathic Demand (enc): Send a mental message that impels a creature toward a course of action. Weird (ill): Frighten, deal mental damage, and possibly kill large numbers of creatures.
