name	class	price	damage	range	reload	bulk	hands	traits	comment
Alchemical bomb	Martial_weapon	varies	varies	20		L	1	bludgeoning,piercing,slashing,Bomb	These bombs come in a variety of types and levels of power, but no matter the variety, you throw the bomb at the target and it explodes, unleashing its alchemical blast.
Bastard sword	Martial_weapon	4gp	1d8			1	1	slashing,Sword,Two-hand@d12	This broad-bladed sword, sometimes called the hand?and?a?half sword, has a longer grip so it can be held in one hand or used with two hands to provide extra slashing power.
Battle axe	Martial_weapon	1 gp	1d8			1	1	Axe	These axes are designed explicitly as weapons, rather than tools. They typically weigh less, with a shaft reinforced with metal bands or bolts, and have a sharper blade, making them ideal for chopping limbs rather than wood.
Blowgun	Simple_weapon	1 sp	1	20	1	L	1	Dart,Agile, nonlethal	This long, narrow tube is used for shooting blowgun darts, using only the power of a forcefully exhaled breath.
Bo staff	Martial_weapon	2 sp	1d8			2	2	Club,Monk, parry, reach, trip	This strong but slender staff is tapered at the ends and well balanced. It’s designed to be an offensive and defensive weapon.
Clan dagger	Simple_weapon	2 gp	1d4			L	1	piercing,Knife,bludgeoning,dwarf, parry, versatile,uncommon	This broad dagger is carried by dwarves as a weapon, tool, and designation of clan. Losing or having to surrender a clan dagger is considered a mark of embarrassment to most dwarves.
Club	Simple_weapon	0	1d6	10		1	1	Club,Thrown	This is a piece of stout wood shaped or repurposed to bludgeon an enemy. Clubs can be intricately carved pieces of martial art or as simple as a tree branch or piece of wood.
Composite longbow	Martial_weapon	20 gp	1d8	100	0	2	1	Bow,Deadly@d10, propulsive, volley	This projectile weapon is made from horn, wood, and sinew laminated together to increase the power of its pull and the force of its projectile. Like all longbows, its great size also increases the bow’s range and power. You must use two hands to fire it, and it cannot be used while mounted. Any time an ability is specifically restricted to a longbow, such as Erastil’s favored weapon, it also applies to composite longbows unless otherwise stated.
Composite shortbow	Martial_weapon	14 gp	1d6	60	0	1	1	Bow,Deadly@d10, propulsive	This shortbow is made from horn, wood, and sinew laminated together to increase the power of its pull and the force of its projectile. Its compact size and power make it a favorite of mounted archers. Any time an ability is specifically restricted to a shortbow, it also applies to composite shortbows unless otherwise stated.
Crossbow	Simple_weapon	3 gp	1d8	120	1	1	2	Bow	This ranged weapon has a bow-like assembly mounted on a handled frame called a tiller. The tiller has a mechanism to lock the bowstring in place, attached to a trigger mechanism that releases the tension and launches a bolt.
